case_id,tweet_id,customer_message,gold_intent,gold_escalate,predicted_intent,confidence,decision,reason,reply,evidence_count,top_evidence_customer,top_evidence_reply
AMZ-057,95320,"@AmazonHelp Là il ne s'agit ""que"" d'une parure de lit mais bon ça fait 5j que j'attends alors que je suis membre Prime.",prime_membership,AUTO-HANDLE,prime_membership,0.937,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Je reçois tout en retard alors que je suis abonnée prime!,@241855 J'en suis sincèrement désolée 🙁 N'hésitez pas à remonter tout retard à notre SAV ! ^SM
AMZ-058,248124,@AmazonHelp Thanks!got an email confirming that payment recieved,payment_billing,AUTO-HANDLE,payment_billing,0.856,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Thanks. Got the pick up,"@306174 Thanks for the update, we'll keep you notified about the refunds. ^MJ"
AMZ-059,12517,@AmazonHelp Rather than wasting time here can you please check with your team &amp; confirm whether they have responded. Use basic communication skills Sir,other,AUTO-HANDLE,other,0.396,ESCALATE,low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp Why you wasting my time if no resolution.
Is all in Amazon is bunch of jokers..??",@383922 We're sorry about your experience. We'll pass along your comments internally to the concerned team as feedback. ^HK
AMZ-060,249977,@AmazonHelp I have paid but still it is pending,payment_billing,AUTO-HANDLE,payment_billing,0.997,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Even though she's paid for the assembly!!!!,"@300787 I can certainly understand the frustration. Have you had a chance to contact by phone? If so, which options did we provide? ^LI"
AMZ-061,2906572,"@AmazonHelp The item is a gift so didn't really want to open it all up tbh.. And no I didn't select a ""safe place"" the garden is unsheltered, is it common to leave parcels in the open with no knowledge to what is inside?",product_issue,AUTO-HANDLE,product_issue,0.705,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp What nexts? I didn't here anything,@219299 Could you please elaborate? ^HK
AMZ-062,176497,@AmazonHelp Comme expliqué précédemment le vendeur s'était engagé à prendre en charge les frais de retour. L'adresse de retour était en France. Je ne comprends pas pourquoi vous insistez. C'est pourtant simple: le vendeur n'a pas respecté son engagement.,payment_billing,AUTO-HANDLE,payment_billing,0.497,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp Le vendeur avait promis dans un mail (visible sur le site d'Amazon) de rembourser ces frais de retour. Ce qu'il n'a pas fait (2 relances). Amazon n'a pas non plus joué son rôle jusqu'à Z mais seulement jusqu'à X ou Y. Déçu par le vendeur, d'habitude super. Déçu aussi par Amazon.","@157528 Comme expliqué precedemment, la prise en charge des frais de retour dépend de la raison du retour ainsi que l'adresse de retour du vendeur.Quelle était la raison du retour? 
^ARC"
AMZ-063,35844,@AmazonHelp It did not say on the tracking who was carrying it.  I did get contacted from Amazon and now they promised first thing in the morning.,delivery_issue,AUTO-HANDLE,delivery_issue,0.591,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp i did and cannot find it anywhere ☹️,@194311 Who was the carrier listed for this order? ^DO
AMZ-064,73449,"@AmazonHelp I’m guessing it has moved to Thursday, which is brilliant because it’s a day I can imagine they’ll deliver when I’m busy as that’s their favourite time to knock 😊😊😊",delivery_issue,AUTO-HANDLE,delivery_issue,0.741,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp I'm guessing it was y'all https://t.co/oWaMWAalGC,@365191 See your available return/replacement options here: https://t.co/3wDNH2xoza ^CL
AMZ-065,39585,@AmazonHelp It seems to be items I order from an amazon warehouse. I’m not sure if my specific location makes a difference.. we are in Baltimore County.,order_issue,AUTO-HANDLE,order_issue,0.872,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,"@AmazonHelp Done that, will see if it makes any difference over the next couple of days",@708133 Definitely keep us updated! ^MT
AMZ-066,164831,"@AmazonHelp Hi, no I only have the 1 account. Happy to DM or email, just wasn’t very easy to find any information on the website itself without going through a million steps",other,AUTO-HANDLE,account_access,0.856,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Just wasn't needed anymore..,"@283812 We'd like to review your available options. When you have the time, please contact us here: https://t.co/JzP7hlA23B ^RA"
AMZ-067,91470,"@AmazonHelp Pls sort ASAP, i need to place order",order_issue,AUTO-HANDLE,order_issue,0.953,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp I need to place an order urgently,@387909 I understand your concern. We're working on the issue with the details you've provided and will get back to you soon. ^AP
AMZ-068,13868,@AmazonHelp i have already done it. your reps dont even check any back data they just rape the customers.,other,AUTO-HANDLE,other,0.477,ESCALATE,low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp Yes, but I am not receiving access codes. I cannot login to the Hub website to check my data.",@132434 Can you check your spam or junk folders? You should have received the code via email.^PJ
AMZ-069,274891,@AmazonHelp dear Amazon send me invoice please Wtf wrong with you,payment_billing,AUTO-HANDLE,payment_billing,0.836,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Dear I get only one mail again and again,@122600 Further assistance on refunds will be provided once your account related issue is resolved by our account specialist team. ^MJ
AMZ-070,2834240,"@AmazonHelp re, bah justement rien n'est indiqué. Il semblerait que vous ne soyez pas encore en mesure de me donner un délai... pour autant, je commande un produit Prime dans l'objectif de l'avoir rapidement.",prime_membership,AUTO-HANDLE,prime_membership,0.889,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Justement rien n'est indiqué.,"@526195 Dès que l'article sera disponible, nous vous confirmerons par e-mail la date et les modalités de l'envoi de celui-ci. ^FA"
AMZ-071,145822,@AmazonHelp still not shipped my order. When will i get any update?,order_issue,AUTO-HANDLE,order_issue,0.988,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp It was shipped by you,"@297531 We'd like to look into this for you, Nathan. You can reach us via phone or chat here:  https://t.co/hApLpMlfHN ^BL"
AMZ-072,205022,@AmazonHelp Associates changed my email &amp; passwords. They can login fine but I can't! My regular account logs in but shows no programs or influencer.,account_access,AUTO-HANDLE,account_access,0.997,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Thanks for the reply. Its when I login to Amazon Associates. https://t.co/hipxOfRxuV,@266392 Thanks for flagging this to us. We'll get this reviewed internally. Please try again in sometime and keep us posted. ^CB
AMZ-073,2906562,@AmazonHelp Still not working. Any ideas?,product_issue,AUTO-HANDLE,product_issue,0.911,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp Not working....,"@171189 My apologies, Ravi. You may unsubscribe from the marketing list by clicking on https://t.co/4meLxAbh3j ^KS"
AMZ-074,192321,@AmazonHelp U please cancel my order,order_issue,AUTO-HANDLE,order_issue,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp Cancel they order.,@399496 We've already forwarded this to our concerned team internally. We'll work towards getting this resolved. ^ZH
AMZ-075,2883326,@AmazonHelp Yes but when I entered my phone number per instructions it also rejected my password,account_access,AUTO-HANDLE,account_access,0.823,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp What's your phone number?,@161464 We're available 24/7 here: https://t.co/EKXRLsnxJu ^GG
AMZ-076,111956,@AmazonHelp I'm not the account holder attached to it so apparently no one can help me.,other,AUTO-HANDLE,account_access,0.991,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp This was a US account.,@735817 Thanks for the information! You can contact us at the following link for further assistance:  https://t.co/hApLpMlfHN ^MW
AMZ-077,25944,@AmazonHelp But why I was not shown the option of next day delivery whereas it is currently shown right now.,delivery_issue,AUTO-HANDLE,delivery_issue,0.89,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Nothing! That’s everything I’m being shown! Was told it would be delivered before 9pm yesterday! Now nothing!,"@479295 Hi Oli, which carrier is it with? ^AT"
AMZ-078,272862,@AmazonHelp So what's the point of prime when it won't be here until the 12th. @Walmart got my business.,prime_membership,AUTO-HANDLE,prime_membership,0.974,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp What's the point of this?,"@269129 Because we aren't able to access your account with Twitter, this will allow us to reach out to you and help the best we can. ^DD"
AMZ-079,2936619,"@AmazonHelp Nope, bt hv faced it many tyms, payment through visa card, is there any issue wid it?",payment_billing,AUTO-HANDLE,payment_billing,0.96,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Nope. Nothing.,"@220492 I'd like a member of my team to personally look into this with you. When you have the chance, please provide more details here:https://t.co/tkLCr7DNil ^CN"
AMZ-080,2878609,@AmazonHelp Also amazon.de account is locked.. Hope these orders have not been deleted.,account_access,AUTO-HANDLE,account_access,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp My account has been locked,@341636 You can reach out to us without signing in to your account here: https://t.co/6tDjE2YMok ^WJ
AMZ-081,2952179,@AmazonHelp I was told they will attempt to deliver tomorrow. This has happen to me at least five times when you ship via your carrier. Sometimes I won't get the packages until 4-5 days later if I am lucky.,delivery_issue,AUTO-HANDLE,delivery_issue,0.894,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp yet another delivery attempt fail. Was told an attempt was made but it wasn't. Been on w/ support for 1 hour.,@345990 Please keep us in the loop on how the phone call goes. Thank you. ^DO
AMZ-082,2762415,@AmazonHelp i am continuously getting mails from Amazon about replacement while i am asking about refund.. Don't know where is the gap,refund_return,AUTO-HANDLE,refund_return,0.974,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp I have contacted them asking for a refund.,@689941 Let us know if you haven't received an update from the seller within 2 business days. ^ES
AMZ-083,2880451,@AmazonHelp Have already placed the order. Hope I will get cash back as mentioned in the same T&amp;C [URL],order_issue,AUTO-HANDLE,order_issue,0.982,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp I placed an order on amazon.de,"@176375 Please get in touch with the amazon.de customer service: https://t.co/ohyvGrpvrY We are pleased to assist you. Regards, ^SI"
AMZ-084,9125,@AmazonHelp I'm UK based. Are the contact details the same?,other,AUTO-HANDLE,other,0.778,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp It was .co.uk,@668498 What does the tracking say who the carrier is? You can see that information under your orders here: https://t.co/aaDyEz1VgE ^MH
AMZ-085,6958,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",other,AUTO-HANDLE,other,0.46,ESCALATE,low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp I've already complained via your website.  Not had a reply yet.,@175064 If an email was sent it can day 24-48hrs to respond vs using phone or chat which will be live. Keep us posted if needed. ^TM
AMZ-086,152098,@AmazonHelp Two days have passed and we are nearing at the half century mark (50 days) FK Amazon’s incompetence. 50 days and NO REFUND..... GUTTER SERVICE @115851,refund_return,AUTO-HANDLE,refund_return,0.9,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,"@AmazonHelp Yes we did and all it said that they will resolve the issue soon, the same answer we are getting for last 50 days.",@430551 Kindly revert to the correspondence received from our team and we'll reach out to you with an update. ^SA
AMZ-087,99942,@AmazonHelp Your call centre staff were really unhelpful. One even hung up on me. I just have to wait for my item but I’m not happy at all.,product_issue,AUTO-HANDLE,product_issue,0.825,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp I have every day this week! As well as twice today!! Your call centre staff have been nothing but rude,"@409798 When you called us, what insight did we provide? How long did we inform you to wait before more options will be avail? ^CO"
AMZ-088,2944224,@AmazonHelp But u have sent me half the order!!! So if that was the case i wouldn't of revieved anything,order_issue,AUTO-HANDLE,order_issue,0.94,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp Already sent....,@123350 Thank you for the confirmation. We'll get back to you at the earliest. ^SU
AMZ-089,13882,"@AmazonHelp so basically you are stealing money from small customers. @115851 count your money, its growing. THIEVES.",other,AUTO-HANDLE,refund_return,0.695,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,"@AmazonHelp Thank you for stealing my money, I am now £200 out of pocket because your courier has stolen my parcel, and you are not doing anything about than wasting my time!!! #conartists @115851",@141801 Did you get a chance to fill out your details in the link previously provided so that we can investigate this for you? ^PJ
AMZ-090,2940265,@AmazonHelp It’s not my recent order. It’s a pending order from Nov 5th on a promotional coupon. I’ve mentioned the days in my tweet. Appreciate if you can read it. TIA,order_issue,AUTO-HANDLE,order_issue,0.993,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp my most recent order hasn't shipped yet but you know I'm prayin' that it comes via FedEx or UPS,@265305 Have we resolved the missing package issue? If not contact us here  https://t.co/hApLpMlfHN ^DJ
AMZ-091,75891,"@AmazonHelp All my past orders were being delivered at same address, still couldn't understand the problem.",delivery_issue,AUTO-HANDLE,delivery_issue,0.798,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp saying lack of address info but orders were delivered on the address in the past and one more to be delivered by tomorrow.,@414842 Once an order is canceled we would not be able to reinstate it. Request you to place a fresh order.  ^SB
AMZ-092,152162,@AmazonHelp Amazon deliveries via couriers are always successful. I just don't know why you give @126705 a contract. Their service isn't up-to-date enough for Amazon generation. My 'next day' prime will now be redelivered on 28th! (first slot available).,prime_membership,AUTO-HANDLE,prime_membership,0.829,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Two-day Prime.,@548982 Thanks for sharing the shipping speed! Was an updated delivery date provided? ^RR
AMZ-093,2826522,@AmazonHelp Nothing stating comes with EU plug. How do I get an invoice for the camera?,payment_billing,AUTO-HANDLE,payment_billing,0.854,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp There should not be any CAMERA . I can see that this is a camera phone.,@198257 Here's another option: https://t.co/068AMHYf6d. ^ST
AMZ-094,71823,@AmazonHelp Make sure it gets delivered today. It has been in my city since yesterday early morning. I’m sure it can be done unless you would rather chose to make a fool out of your customers,delivery_issue,AUTO-HANDLE,delivery_issue,0.784,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Please make sure this gets escalated and I receive a call.,"@326613 Sure, as you've shared your details we'll get back to you. ^HN"
AMZ-095,2962627,@AmazonHelp To wait 24 hours to see if the carrier would confirm where the parcel was. Had an email this morning which is insulting: [URL],delivery_issue,AUTO-HANDLE,delivery_issue,0.641,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Do i need to wait 24 hours?,@171151 You should have received an email from our social media team. Please check and reply. ^MN
AMZ-096,16837,@AmazonHelp No updates even after 2 weeks....poor n shame on Amazon...#JeffBezos [URL],other,ESCALATE,other,0.53,ESCALATE,repeated or unresolved problem; low intent confidence; unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Any updates? It's still the same,@172659 I’d like to understand this better. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest ^RW
AMZ-097,178641,"@AmazonHelp No,except i would like it moved from the seller to my address,as was promised,this is happening all the time Yodel are rubbish !!",product_issue,AUTO-HANDLE,product_issue,0.823,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp Today!! Are deliveries still happening at this time?,@381493 Great question! Deliveries can be made up until 21:00! Please let us know if you don't receive yours by this time. ^KJ
AMZ-098,2954479,@AmazonHelp C'est effectivement la 2eme fois que ca arrive,delivery_issue,AUTO-HANDLE,other,0.846,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp C’est tout ? Je n’ai pas plus d’information que ca ???,"@490174 Sur Twitter, nous n'avons pas accès à votre compte Amazon. Raison pour laquelle mon collègue vous a redirigé vers le SAV.
^MD"
AMZ-099,2966409,@AmazonHelp Original date was Mon Nov 27. There’s only one message from the 27th saying there was a delay and there’s no tracking updates on my packages,delivery_issue,AUTO-HANDLE,delivery_issue,0.96,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,"@AmazonHelp The original date was by 8pm, it has now changed.","@439605 Let's look into this further together. When you have the chance, please reach out to us here: https://t.co/hApLpMlfHN ^HC"
AMZ-100,2894545,"@AmazonHelp Ok, guessing this is being resolved @ the backend by @119625 - Definitely not what I was hoping for given I had already watched 80% of this one. 

P.s. : Any solution, other than planning a trip to the country where I might be able to access this? ✌️😐✌️😐✌️😐✌️ [URL]",other,AUTO-HANDLE,account_access,0.57,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Ok. To confirm if i switch account country I won't be able to access videos etc?,@208868 That is correct. ^TR
AMZ-101,2954371,"@AmazonHelp Sure have. Smh and ya'll ain't even re shipping it ya'll are horrible.

Hey big head. @115937",delivery_issue,AUTO-HANDLE,delivery_issue,0.393,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Sure. and its Tania.,"@271121 We'd love to assist you! Please reach out to us here:  https://t.co/hApLpMlfHN
^GP"
AMZ-102,26932,@AmazonHelp Can’t seem to find any option to play podcasts via Echo. An I missing something?,other,AUTO-HANDLE,other,0.628,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp But-there-is-no-option-to-contact_with-u,@354415 Click on the link&gt;select the item&gt;select the issue code&gt;Initiate a contact with us via e-mail/call/chat. ^CB
AMZ-103,2911644,"@AmazonHelp Por lo visto esta en buen estado, obvio con tierra por el patio. Fue vendido por Amazon, de hecho ""transportado por Amazon"", ya que fue con etiqueta de Prime. Esta mi reporte en ya hecho en Contacto a su servicio a cliente, realice llamada y acabo de enviar un correo.",prime_membership,AUTO-HANDLE,prime_membership,0.74,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,"@AmazonHelp Entiendo que es gestionado por Amazon, ya que me aparece que fue vendido por Amazon EU S.a.r.L.","@123484 Suarez, por favor entra en contacto con nuestros compañeros de Soporte al Cliente: https://t.co/OjvUxwnzPe. ^DA"
AMZ-104,69620,@AmazonHelp Just googled Amazon Prime. Look what the first three words are [URL],prime_membership,AUTO-HANDLE,prime_membership,0.995,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Just googled the info on returns label and I think I know where to go now! 😂,"@393011 Oh, that's good! Thanks for letting us know you're sorted now.😊 ^TS"
AMZ-105,2958528,@amazonhelp i was asked to wait until you try to charge me again — doesn’t help,payment_billing,AUTO-HANDLE,payment_billing,0.926,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Asked to wait until 9pm tonight 🤔,@195152 Were any other options/instructions provided in case the order didn't arrive? ^EZ
AMZ-106,80667,@AmazonHelp J'ai passé une commande le 20/11 pour livraison le 28/11 entre 10 et midi (amazon prime + supplément créneau horaire + supplément emballage cadeau car il s'agissait d'un événement important) Le 27 je reçois un mail disant que le colis a été expédié. jusque la tout va bien 1/1,prime_membership,AUTO-HANDLE,prime_membership,0.796,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Oui commande passé le 19/11 livraison le 22/11 repoussé au 23/11 et maintenant estimée entre le 23 et le 27/11.,@140401 N'hésitez pas à signaler cela à notre SAV https://t.co/qzuu0dgDXz afin de faire remonter l'incident. ^MH
AMZ-107,73447,"@AmazonHelp Okay, so package has just been delivered even though I’m sure it says you stop delivery at 8!! 😩😩😩",delivery_issue,AUTO-HANDLE,delivery_issue,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp No it was just delivered this AM,"@200701 You can check on replacement options here: https://t.co/Y5jpI9gRhE, as well. Please keep us posted, Julia! ^LB"
AMZ-108,2882693,@AmazonHelp You had cheated me and played with my trust you can't believe how much loss I had to bear bcoz if it next time I will never place the order by paying online,order_issue,AUTO-HANDLE,order_issue,0.932,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp More than one week still not resolved ..who will bear the loss....Bcoz of amazon i can't get the product #OnePlus5T @132994 @132995,@132993 Could you please confirm if you've received a correspondence from our social media team here: https://t.co/8DAc10S7ww ? ^MN
AMZ-109,162089,"@AmazonHelp Done that now. It google chrome I'm using. No change, no access to books.",other,AUTO-HANDLE,account_access,0.951,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Using Google chrome....,@263820 Which venue are you trying to buy the tickets for? ^BZ
AMZ-110,229756,"@AmazonHelp Hey, I'm a Prime customer so... the fastest!",prime_membership,AUTO-HANDLE,prime_membership,0.998,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,"@AmazonHelp Hey still no respite from that pricing, should i order or not ?","@354557 I understand your concern regarding the price of the product. However, pricing and offers are the decisions of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price it may result in fluctuations in our prices over time. ^AH"
